,Address,Business Name,Email,Phone Number,Website
0," 32 Castell Coch View, Tongwynlais, CARDIFF, CF15 7LA                                 ",@rchitecture,design@atrchitecture.co.uk,02920520800,www.atrchitecture.co.uk
1," Flint Glass Works, 64 Jersey Street, Manchester, M4 6JW                                 ",10Architect,alan.simpson@10architect.com,07802 443 075,www.10architect.com
2," Studio 1,, 128 Robinson Road, London, SW17 9DR                                 ",1st Architects lse,london@1st-architects.com,020 8767 1311,www.1st-architects.com
3," 13b Angel Lane, Penrith, Cumbria, CA11 7BP                                 ",2030 Architects Ltd,mail@2030architects.co.uk,01768 864224,www.2030architects.co.uk
4," 318 Kensal Road, LONDON, W10 5BZ                                 ",23 Architecture,stuart@23arc.com,020 8962 8666,23arc.com
5," 4 St. Marys Way, CHIGWELL, Essex, IG7 5BX                                 ",2M Architects,info@2m-architects.com,02082799274,Instagram     tamsinrogers_2m_architects
6," 124 Boundary Road, London, NW8 0RH                                 ",2PM Architects,studio@2pm-architects.co.uk,020 7604 4339,www.2pm-architects.co.uk
7," 95 Copthorne Road, SHREWSBURY, Shropshire, SY3 8ND                                 ",2Scale Architects and Designers Ltd,nick@2scalearchitects.co.uk,01743 241521,www.2scalearchitects.co.uk
8," 6 Osborn Street, LONDON, E1 6TD                                 ",31/44 Architects,London@3144architects.com,020 3735 7820,www.3144architects.com
9," 62 Bedminster Parade, Bristol, BS3 4HL                                 ",310 Studio Ltd,info@310studio.co.uk,020 3488 8310,www.310studio.co.uk
10," Churchill House, 137-139 Brent Street, LONDON, NW4 4DJ                                 ",32 Design,mail@32design.net,020 8343 4850,www.32design.net
11," 13 Backfields Lane, BRISTOL, BS2 8QW                                 ",3bd LLP,info@3bdarchitects.com,0117 370 7380,www.3bdarchitects.com
12," Lilla Huset, 191 Talgarth Road,, London,, W6 8BJ                                 ",3BM Limited,lee.richardson@3bm.co.uk,03452708260,www.spaces.3bm.co.uk
13," Gresham House, 45 West Nile Street, GLASGOW, G1 2PT                                 ",3DReid,glasgow@3DReid.com,03452716350,www.3DReid.com
14," 36a North Castle Street, EDINBURGH, EH2 3BN                                 ",3DReid,edinburgh@3DReid.com,03452716300,www.3DReid.com
15," 26 Cross Street, Manchester, M2 7AQ                                 ",3DReid,manchester@3DReid.com,0345 271 6100,www.3DReid.com
16," 1 Hills Place, London, W1F 7SA                                 ",3DReid,london@3DReid.com,03452716100,www.3DReid.com
17," 12 Caroline Street, BIRMINGHAM, West Midlands, B3 1TR                                 ",3DReid,birmingham@3DReid.com,0121 212 2221,www.3DReid.com
18," 74 Hawkins Way, HELSTON, Cornwall, TR13 8FQ                                 ",3HW Architecture & Design,info@3hwarchitecture.com,01326 572101,www.3hwarchitecture.com
19," Alexander Place, 17a Princes Road, RICHMOND, Surrey, TW10 6DQ                                 ",3S Architects & Designers,info@3s-ad.com,020 8332 9966,www.3s-ad.com
20," Thames Wharf Studios, Rainville Road, LONDON, W6 9HA                                 ",3W Architecture Limited,swalker@3w.org,020 7835 5552,www.3w.org
21," Katarina Vastra Kyrkogata 8, Stockholm, Stockholm, 11625                                 ",42 Architects,johan@42architects.com,0046738424667,www.42architects.com
22," Bedford House, 69-79 Fulham High Street, LONDON, SW6 3JW                                 ",4D Studio Ltd,rosie@architect.uk.com,020 7471 8550,www.4d-studio.co.uk
23," 50 Degrees North Architects, St. Johns Studio, 6-8 Church Road, RICHMOND, Surrey, TW9 2QA                                 ",50 Degrees North Architects,info@50degrees.co.uk,0208 744 2337,www.50degrees.co.uk
24," 1A Cobham Mews, London, NW1 9SB                                 ",51 Architecture,info@51architecture.com,0203 355 1205,www.51architecture.com
25," 764 Finchley Road, London, NW11 7TH                                 ",5D Architects Ltd,geoff@5darchitects.org.uk,0208 458 4326,www.5darchitects.org.uk
26," 3 Southwark Street, London, SE1 1RQ                                 ",5PA Architects Ltd,sas@5pa.co.uk,020 3371 1622,www.5pa.co.uk
27," 5plus Architects London Ltd, 25 Chart Street, LONDON, N1 6FA                                 ",5plus Architects London Ltd,london@5plusarchitects.com,020 7253 7644,www.5plusarchitects.com
28," 4th Floor, The Hive, 47 Lever Street, MANCHESTER, Lancashire, M1 1FN                                 ",5plus Architects Ltd,manchester@5plusarchitects.com,0161 228 0211,www.5plusarchitects.com
29," Unit 14, 21 Wren Street, LONDON, WC1X 0HF                                 ",5th Studio,mail@5thstudio.co.uk,020 7837 7221,www.5thstudio.co.uk
30," Darkroom, Unit 8, Dales Brewery, Gwydir Street, CAMBRIDGE, Cambridgeshire, CB1 2LJ                                 ",5th Studio Ltd,mail@5thstudio.co.uk,01223 516009,www.5thstudio.co.uk
31," g1, waulk mill, Manchester, M4 6LN                                 ",74 Architects,d.holt@74architects.com,0161 960 0074,www.74architects.com
32," 7 Randolph Place, EDINBURGH, EH3 7TE                                 ",7N Architects,info@7Narchitects.com,0131 220 5541,www.7narchitects.com
33," 4 Kelmore Grove, London, SE22 9BH                                 ",8x8 Limited,peter@8x8projects.com,07734 102 854,www.8x8projects.com
34," Ardnacree, School Lane, Collingham, WETHERBY, West Yorkshire, LS22 5BD                                 ",A & J Architects,mail@aj-architects.co.uk,01937 579 200,www.aj-architects.com
35," 11 Leicester Road, LOUGHBOROUGH, Leicestershire, LE11 2AE                                 ",A + G Architects Limited,afilby@aandgarchitects.com,01509 212310,www.aandgarchitects.com
36," 9 MacGregor Street, BRECHIN, Angus, DD9 6AB                                 ",A B Roger & Young Ltd,info@abrogerandyoung.com,01356 622125,
37," 7 Carnarvon Court, Bretby, Burton-On-Trent, Staffordshire, DE15 0UA                                 ",A for Architect,info@aforarchitect.co.uk,"
info@aforarchitect.co.uk
",www.aforarchitect.co.uk
38," Hatherland Mill, Lower Washfield, Tiverton, Devon, EX16 9PG                                 ",A J Bunning Architect,alison.bunning@btinternet.com,01398 351165,
39," 52 Fairway Avenue, WEST DRAYTON, Middlesex, UB7 7AN                                 ",A M Meri Architects,am@meriarchitects.com,0189 5444 998,www.meriarchitects.com
40," Unit 1, 83 Cheriton Road, FOLKESTONE, Kent, CT20 1DG                                 ",A N S H A M Associates LTD,enquiries@ansham.com,02070789858,anshamassociates.uk
41," Unit D, 228 Parkhall Business Centre, 40 Martell Road, LONDON, SE21 8EN                                 ",A Small Studio Ltd,ask@asmallstudio.co.uk,020 8133 5675,www.asmallstudio.co.uk
42," 1 Netherconesford, 93-95 King Street, NORWICH, Norfolk, NR1 1PW                                 ",A Squared Architects,mail@asquaredarchitects.co.uk,01603 664379,www.asquaredarchitects.com
43," 25a Spencer Road, LONDONDERRY, County Londonderry, BT47 6AA                                 ",A.D.M.S Ltd Architects,info@adms-ni.com,028 71341260,www.adms-ni.com
44," 11 7-12 Rowhill Mansions, Rowhill Road, London, E5 8ED                                 ",A.Nicholls,contact@anicholls.org,"
contact@anicholls.org
",www.anicholls.org
45," Burlington House, 369 Wellingborough Road, NORTHAMPTON, Northamptonshire, NN1 4EU                                 ",A.P.C. Architects,info@consultapc.co.uk,01604 619 921,www.consultapc.co.uk
46," A.S.A Architects, Petrusha, Newport, St. Germans, SALTASH, Cornwall, PL12 5NX                                 ",A.S.A Architects,andystrange@btinternet.com,07770 421624,www.asa-architect.co.uk
